amount_learned,material_understood,acheivements_aligned,ach_instructions,ach_understanding,ach_effort,fair_instructions,fair_material,fair_effort,outside
3,2,I think they reflect my understanding well,Reflected perfectly in the grading,Reflected perfectly in the grading,Reflected perfectly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, download and run the notes, watching videos that I find on my own, tinkering with code to answer other aspects of the material that I'm curious about"
4,5,I think they reflect my understanding well,Reflected moderately in the grading,Reflected moderately in the grading,Reflected strongly in the grading,Is fairly reflected in the grading,Should be reflected more in the grading,Is fairly reflected in the grading,"read the notes online, reading blogs or tutorials I find on my own, watching videos that I find on my own, attended Dr. Brown's office hours"
3,4,I think they reflect my understanding well,Reflected strongly in the grading,Reflected strongly in the grading,Reflected moderately in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"download and run the notes, update the notes I took during class time, reading blogs or tutorials I find on my own"
5,3,I think they reflect my understanding well,Reflected moderately in the grading,Reflected moderately in the grading,Reflected moderately in the grading,Should be reflected more in the grading,Is fairly reflected in the grading,Should be reflected more in the grading,"read the notes online, download and run the notes, experimenting with the code from class, update the notes I took during class time, reading blogs or tutorials I find on my own, watching videos that I find on my own"
4,3,I think they reflect my understanding well,Reflected strongly in the grading,Reflected a little in the grading,Reflected strongly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, download and run the notes, reading the documentation or course text, reading blogs or tutorials I find on my own, attended Marks's office hours, attended Dr. Brown's office hours"
2,2,I think they reflect my understanding well,Reflected moderately in the grading,Reflected strongly in the grading,Reflected strongly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, experimenting with the code from class, tinkering with code to answer other aspects of the material that I'm curious about, attended Marks's office hours"
3,3,I think the achievements underestimate what I know (I know more than they reflect),Reflected moderately in the grading,Reflected moderately in the grading,Reflected moderately in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, reading blogs or tutorials I find on my own, watching videos that I find on my own, tinkering with code to answer other aspects of the material that I'm curious about, attended Marks's office hours"
4,3,I think they reflect my understanding well,Reflected moderately in the grading,Reflected moderately in the grading,Reflected a little in the grading,Should be reflected more in the grading,Should be reflected more in the grading,Should be reflected more in the grading,"read the notes online, experimenting with the code from class, reading the documentation or course text, reading blogs or tutorials I find on my own, tinkering with code to answer other aspects of the material that I'm curious about"
4,3,I think they reflect my understanding well,Reflected perfectly in the grading,Reflected strongly in the grading,Reflected strongly in the grading,Should be reflected more in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"reading the documentation or course text, watching videos that I find on my own, tinkering with code to answer other aspects of the material that I'm curious about"
1,2,I think the achievements I've earned are unrelated to what I have learned,Reflected strongly in the grading,Reflected moderately in the grading,Reflected moderately in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, reading the documentation or course text, reading blogs or tutorials I find on my own, attended Marks's office hours, attended Dr. Brown's office hours"
4,5,I think they reflect my understanding well,Reflected perfectly in the grading,Reflected perfectly in the grading,Reflected strongly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, reading the documentation or course text, reading blogs or tutorials I find on my own, tinkering with code to answer other aspects of the material that I'm curious about"
3,4,I think the achievements I've earned are unrelated to what I have learned,Reflected a little in the grading,Reflected moderately in the grading,Reflected moderately in the grading,Should be less reflected in the grading,Should be reflected more in the grading,Is fairly reflected in the grading,"read the notes online, experimenting with the code from class, reading blogs or tutorials I find on my own, watching videos that I find on my own"
4,4,I think the achievements underestimate what I know (I know more than they reflect),Reflected strongly in the grading,Reflected strongly in the grading,Reflected moderately in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, download and run the notes, reading the documentation or course text, tinkering with code to answer other aspects of the material that I'm curious about"
4,2,I think they reflect my understanding well,Reflected strongly in the grading,Reflected strongly in the grading,Reflected perfectly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Should be less reflected in the grading,"read the notes online, reading the documentation or course text, watching videos that I find on my own, tinkering with code to answer other aspects of the material that I'm curious about, attended Dr. Brown's office hours"
1,2,I think the achievements overestimate what I know (I know less than they reflect),Not reflected at all in the grading,Reflected a little in the grading,Not reflected at all in the grading,Is fairly reflected in the grading,Should be reflected more in the grading,Should be reflected more in the grading,"read the notes online, experimenting with the code from class, reading the documentation or course text, reading blogs or tutorials I find on my own, watching videos that I find on my own"
4,3,I think they reflect my understanding well,Reflected a little in the grading,Reflected moderately in the grading,Reflected a little in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"reading the documentation or course text, watching videos that I find on my own, attended Marks's office hours"
3,2,I think the achievements overestimate what I know (I know less than they reflect),Reflected moderately in the grading,Reflected moderately in the grading,Reflected strongly in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,Is fairly reflected in the grading,"read the notes online, download and run the notes, reading the documentation or course text, tinkering with code to answer other aspects of the material that I'm curious about, attended Dr. Brown's office hours"
